time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1940-01-01,,,1.46,,,
1940-01-02,20.2,70.0,1.98,24.2,0.053,0.2
1940-01-03,19.9,64.0,1.83,23.5,0.057,1.1
1940-01-04,21.7,57.0,2.48,24.9,0.052,0.0
1940-01-05,22.2,69.0,2.47,26.0,0.048,0.0
1940-01-06,21.4,68.0,1.83,25.0,0.046,0.0
1940-01-07,23.6,48.0,3.43,26.6,0.044,0.0
1940-01-08,22.3,60.0,2.86,26.7,0.043,0.0
1940-01-09,20.3,73.0,1.71,25.2,0.043,0.0
1940-01-10,20.7,74.0,1.53,24.8,0.044,0.4
1940-01-11,19.5,58.0,1.49,23.6,0.045,0.1
1940-01-12,20.5,55.0,2.18,24.1,0.044,0.0
1940-01-13,21.6,55.0,2.87,25.2,0.045,1.2
1940-01-14,19.8,66.0,1.31,23.4,0.053,0.7
1940-01-15,21.8,60.0,2.29,25.1,0.05,0.0
1940-01-16,22.3,70.0,1.86,25.8,0.047,0.0
1940-01-17,25.4,58.0,3.0,27.7,0.046,0.0
1940-01-18,26.8,58.0,2.83,29.8,0.046,0.5
1940-01-19,21.9,76.0,1.53,26.1,0.052,1.2
1940-01-20,20.3,74.0,1.32,23.4,0.063,2.2
1940-01-21,22.2,61.0,2.26,25.2,0.061,0.0
1940-01-22,21.7,59.0,2.44,25.7,0.053,0.0
1940-01-23,19.8,66.0,1.6,24.2,0.05,0.3
1940-01-24,20.2,51.0,2.23,24.0,0.049,0.0
1940-01-25,21.2,57.0,2.53,25.2,0.047,0.0
1940-01-26,23.4,63.0,2.82,26.6,0.046,0.0
1940-01-27,23.3,69.0,2.68,27.4,0.045,0.0
1940-01-28,21.1,77.0,1.42,25.8,0.044,0.0
1940-01-29,19.8,56.0,1.63,23.8,0.043,0.0
1940-01-30,21.3,47.0,2.73,24.8,0.043,0.0
1940-01-31,20.1,61.0,2.07,24.1,0.043,0.0
1940-02-01,22.9,62.0,2.64,25.7,0.043,0.0
1940-02-02,26.7,51.0,4.22,28.8,0.043,0.0
1940-02-03,23.8,69.0,1.7,26.9,0.042,0.1
1940-02-04,22.3,81.0,1.6,26.7,0.041,0.0
1940-02-05,21.7,81.0,1.58,26.5,0.041,0.2
1940-02-06,23.1,76.0,2.04,27.3,0.041,0.0
1940-02-07,22.3,71.0,1.97,26.0,0.04,0.0
1940-02-08,23.4,69.0,2.39,26.8,0.039,0.0
1940-02-09,19.9,85.0,0.99,23.3,0.05,4.0
1940-02-10,18.8,62.0,1.64,22.8,0.065,0.4
1940-02-11,19.1,60.0,1.64,23.0,0.058,0.0
1940-02-12,18.7,66.0,1.45,22.0,0.052,0.0
1940-02-13,20.0,69.0,1.7,23.3,0.05,0.0
1940-02-14,22.5,66.0,2.54,25.4,0.047,0.0
1940-02-15,20.9,71.0,1.47,24.8,0.046,0.1
1940-02-16,19.2,67.0,1.34,23.0,0.047,0.3
1940-02-17,20.5,44.0,2.83,23.5,0.048,0.0
1940-02-18,21.3,47.0,2.73,24.6,0.046,0.0
1940-02-19,24.0,45.0,4.26,26.1,0.045,0.0
1940-02-20,22.7,56.0,3.5,26.3,0.046,0.0
1940-02-21,22.0,65.0,2.36,25.3,0.047,0.0
1940-02-22,21.3,68.0,2.26,25.0,0.045,0.0
1940-02-23,20.4,77.0,1.68,24.4,0.043,0.0
1940-02-24,20.7,76.0,1.64,24.8,0.042,0.0
1940-02-25,19.6,80.0,1.36,22.5,0.049,2.9
1940-02-26,18.2,61.0,1.43,21.7,0.079,0.9
1940-02-27,19.3,54.0,1.85,21.5,0.069,0.0
1940-02-28,22.9,54.0,2.89,24.2,0.06,0.0
1940-02-29,21.9,63.0,2.59,25.1,0.052,0.0
1940-03-01,20.7,79.0,1.55,23.7,0.048,0.0
1940-03-02,25.4,64.0,3.2,27.0,0.046,0.0
1940-03-03,24.6,70.0,2.39,26.9,0.043,0.0
1940-03-04,24.8,60.0,3.27,26.9,0.042,0.0
1940-03-05,26.4,54.0,3.59,28.2,0.042,0.0
1940-03-06,21.3,75.0,1.64,25.4,0.044,0.0
1940-03-07,19.1,78.0,1.14,22.9,0.05,1.8
1940-03-08,18.4,60.0,1.63,21.8,0.053,0.0
1940-03-09,18.2,69.0,1.49,21.6,0.05,0.0
1940-03-10,18.2,67.0,1.42,21.0,0.048,0.0
1940-03-11,18.7,76.0,1.53,21.9,0.045,0.0
1940-03-12,18.8,73.0,1.35,22.2,0.045,0.0
1940-03-13,19.6,72.0,1.69,22.6,0.045,0.0
1940-03-14,21.9,70.0,2.41,24.0,0.043,0.0
1940-03-15,22.4,69.0,2.28,24.9,0.043,0.0
1940-03-16,22.3,69.0,3.24,24.7,0.043,0.0
1940-03-17,19.7,71.0,1.62,23.1,0.044,0.0
1940-03-18,21.7,66.0,2.94,24.3,0.044,0.0
1940-03-19,19.5,77.0,1.38,23.1,0.043,0.0
1940-03-20,20.4,73.0,1.93,23.3,0.043,0.0
1940-03-21,18.2,81.0,0.86,21.5,0.045,1.2
1940-03-22,16.9,79.0,1.04,19.7,0.095,3.7
1940-03-23,17.4,77.0,1.25,19.8,0.097,0.1
1940-03-24,19.6,65.0,2.16,21.0,0.085,0.0
1940-03-25,21.1,59.0,2.8,22.2,0.072,0.0
1940-03-26,20.8,66.0,2.74,22.6,0.062,0.0
1940-03-27,19.2,80.0,1.68,22.7,0.057,0.1
1940-03-28,19.2,81.0,1.53,21.7,0.053,0.0
1940-03-29,17.1,85.0,0.46,19.3,0.135,16.5
1940-03-30,16.6,56.0,1.33,18.7,0.154,0.0
1940-03-31,16.4,65.0,1.57,18.2,0.128,0.0
1940-04-01,19.2,66.0,1.84,19.8,0.11,0.0
1940-04-02,18.6,78.0,1.72,20.4,0.096,0.0
1940-04-03,19.3,76.0,1.7,20.7,0.085,0.0
1940-04-04,19.6,68.0,2.55,20.9,0.074,0.0
1940-04-05,19.7,73.0,2.42,21.1,0.065,0.0
1940-04-06,19.1,74.0,1.6,21.0,0.061,0.0
1940-04-07,19.6,75.0,1.56,21.7,0.057,0.0
1940-04-08,19.7,75.0,1.71,21.9,0.054,0.0
1940-04-09,20.6,63.0,2.79,22.1,0.051,0.0
1940-04-10,18.7,65.0,2.26,20.8,0.047,0.0
1940-04-11,19.7,69.0,2.46,21.1,0.045,0.0
1940-04-12,19.0,82.0,1.7,21.2,0.043,0.0
1940-04-13,17.7,87.0,1.13,20.9,0.045,0.0
1940-04-14,17.5,88.0,0.94,19.6,0.047,0.0
1940-04-15,18.2,81.0,1.18,20.0,0.047,0.0
1940-04-16,19.8,64.0,1.89,20.9,0.046,0.0
1940-04-17,19.4,62.0,2.52,20.8,0.045,0.0
1940-04-18,19.5,73.0,1.97,21.3,0.043,0.0
1940-04-19,21.5,63.0,2.47,22.2,0.043,0.0
1940-04-20,21.7,62.0,2.94,23.0,0.043,0.0
1940-04-21,20.2,71.0,2.51,22.2,0.042,0.0
1940-04-22,18.6,84.0,1.12,21.4,0.043,0.0
1940-04-23,19.2,75.0,1.71,21.0,0.043,0.0
1940-04-24,19.0,79.0,1.52,21.0,0.042,0.0
1940-04-25,16.1,84.0,0.87,18.9,0.042,0.0
1940-04-26,15.5,79.0,0.8,17.1,0.042,0.0
1940-04-27,15.0,82.0,0.67,17.0,0.049,4.8
1940-04-28,13.2,76.0,0.77,15.6,0.116,4.6
1940-04-29,13.4,76.0,0.95,14.7,0.151,8.0
1940-04-30,15.1,87.0,0.49,16.1,0.205,14.0
1940-05-01,14.8,77.0,0.86,15.8,0.173,4.6
1940-05-02,15.0,74.0,0.84,15.9,0.185,3.4
1940-05-03,15.2,78.0,0.93,16.3,0.161,0.6
1940-05-04,14.7,87.0,0.68,15.3,0.149,0.0
1940-05-05,15.3,72.0,1.26,15.9,0.14,0.0
1940-05-06,14.6,84.0,1.12,15.2,0.13,0.0
1940-05-07,15.1,85.0,1.04,15.7,0.123,0.0
1940-05-08,16.3,78.0,1.72,15.7,0.117,0.0
1940-05-09,15.7,72.0,2.03,15.6,0.109,0.0
1940-05-10,13.5,86.0,0.59,14.7,0.102,0.6
1940-05-11,13.7,87.0,0.55,14.6,0.101,0.6
1940-05-12,14.3,86.0,0.47,14.5,0.102,0.7
