region,year,week,ftd
Elgin & Grabouw,2010,1,0.11
Elgin & Grabouw,2010,2,0.2
Elgin & Grabouw,2010,3,0.32
Elgin & Grabouw,2010,4,0.46
Elgin & Grabouw,2010,5,0.25
Elgin & Grabouw,2010,6,0.11
Elgin & Grabouw,2010,7,0.38
Elgin & Grabouw,2010,8,0.68
Elgin & Grabouw,2010,9,1.6
Elgin & Grabouw,2010,10,0.76
Elgin & Grabouw,2010,11,0.67
Elgin & Grabouw,2010,12,0.92
Elgin & Grabouw,2010,13,0.58
Elgin & Grabouw,2010,14,0.91
Elgin & Grabouw,2010,15,1.09
Elgin & Grabouw,2010,16,0.92
Elgin & Grabouw,2010,17,1.11
Elgin & Grabouw,2010,18,0.94
Elgin & Grabouw,2010,19,0.55
Elgin & Grabouw,2010,20,0.64
Elgin & Grabouw,2010,21,0.84
Elgin & Grabouw,2010,22,0.36
Elgin & Grabouw,2010,23,0.48
Elgin & Grabouw,2010,24,0.35
Elgin & Grabouw,2010,25,0.28
Elgin & Grabouw,2010,26,0.24
Elgin & Grabouw,2010,27,0.2
Elgin & Grabouw,2010,28,0.36
Elgin & Grabouw,2010,29,0.16
Elgin & Grabouw,2010,30,0.31
Elgin & Grabouw,2010,31,0.15
Elgin & Grabouw,2010,32,0.15
Elgin & Grabouw,2010,33,0.16
Elgin & Grabouw,2010,34,0.09
Elgin & Grabouw,2010,35,0.03
Elgin & Grabouw,2010,36,0.04
Elgin & Grabouw,2010,37,0.03
Elgin & Grabouw,2010,38,0.04
Elgin & Grabouw,2010,39,0.02
Elgin & Grabouw,2010,40,0.08
Elgin & Grabouw,2010,41,0.06
Elgin & Grabouw,2010,42,0.1
Elgin & Grabouw,2010,43,0.06
Elgin & Grabouw,2010,44,0.0
Elgin & Grabouw,2010,45,0.0
Elgin & Grabouw,2010,46,0.0
Elgin & Grabouw,2010,47,0.0
Elgin & Grabouw,2010,48,0.0
Elgin & Grabouw,2010,49,0.0
Elgin & Grabouw,2010,50,0.0
Elgin & Grabouw,2010,51,0.0
Elgin & Grabouw,2010,52,0.0
Elgin & Grabouw,2011,1,0.12
Elgin & Grabouw,2011,2,0.25
Elgin & Grabouw,2011,3,0.3
Elgin & Grabouw,2011,4,0.39
Elgin & Grabouw,2011,5,0.51
Elgin & Grabouw,2011,6,0.55
Elgin & Grabouw,2011,7,0.98
Elgin & Grabouw,2011,8,1.14
Elgin & Grabouw,2011,9,0.97
Elgin & Grabouw,2011,10,0.93
