Region,Date,Risk_Probability,Risk_Level,Temp_14d_Mean,Humidity_14d_Mean,Degree_Days_30d
Grabouw,2026-08-12,0.3594,MODERATE (Inspect Traps),12.2,73.1,51.7
Grabouw,2026-08-13,0.3594,MODERATE (Inspect Traps),12.4,72.6,57.2
Grabouw,2026-08-14,0.3594,MODERATE (Inspect Traps),12.5,73.2,59.4
Grabouw,2026-08-15,0.3594,MODERATE (Inspect Traps),12.3,76.5,60.4
Grabouw,2026-08-16,0.3594,MODERATE (Inspect Traps),12.0,79.1,60.8
Grabouw,2026-08-17,0.3594,MODERATE (Inspect Traps),11.7,81.1,63.2
Grabouw,2026-08-18,0.3594,MODERATE (Inspect Traps),11.5,82.3,64.2
Grabouw,2026-08-19,0.3594,MODERATE (Inspect Traps),11.3,82.6,63.9
Grabouw,2026-08-20,0.3594,MODERATE (Inspect Traps),11.4,81.6,64.2
Grabouw,2026-08-21,0.3594,MODERATE (Inspect Traps),11.6,81.1,67.3
Grabouw,2026-08-22,0.3594,MODERATE (Inspect Traps),11.8,80.9,70.0
Grabouw,2026-08-23,0.3594,MODERATE (Inspect Traps),12.1,80.8,72.1
Grabouw,2026-08-24,0.3594,MODERATE (Inspect Traps),12.4,80.7,73.0
Grabouw,2026-08-25,0.3594,MODERATE (Inspect Traps),13.0,79.6,75.6
Ceres,2026-08-12,0.3594,MODERATE (Inspect Traps),11.7,69.7,46.4
Ceres,2026-08-13,0.3594,MODERATE (Inspect Traps),12.1,68.8,53.1
Ceres,2026-08-14,0.3594,MODERATE (Inspect Traps),12.1,69.9,55.4
Ceres,2026-08-15,0.3594,MODERATE (Inspect Traps),12.2,70.6,57.7
Ceres,2026-08-16,0.3594,MODERATE (Inspect Traps),12.2,71.4,58.0
Ceres,2026-08-17,0.3594,MODERATE (Inspect Traps),12.0,72.8,60.4
Ceres,2026-08-18,0.3594,MODERATE (Inspect Traps),11.8,74.9,63.9
Ceres,2026-08-19,0.3594,MODERATE (Inspect Traps),11.9,74.4,65.5
Ceres,2026-08-20,0.3594,MODERATE (Inspect Traps),12.0,73.6,67.2
Ceres,2026-08-21,0.3594,MODERATE (Inspect Traps),12.2,72.8,70.6
Ceres,2026-08-22,0.3594,MODERATE (Inspect Traps),12.2,73.6,72.2
Ceres,2026-08-23,0.3594,MODERATE (Inspect Traps),12.5,73.4,73.2
Ceres,2026-08-24,0.3594,MODERATE (Inspect Traps),12.9,73.6,74.7
Ceres,2026-08-25,0.3594,MODERATE (Inspect Traps),13.4,72.9,77.5
