time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,rain_sum,degree_days
2023-01-01,38.8,19.4,27.8,44,0.0,17.8
2023-01-02,36.3,21.4,28.8,46,0.0,18.8
2023-01-03,32.9,17.6,23.6,61,1.1,13.600000000000001
2023-01-04,22.5,15.6,19.0,72,3.1,9.0
2023-01-05,23.1,14.7,18.1,54,0.1,8.100000000000001
2023-01-06,28.6,14.7,21.0,51,0.0,11.0
2023-01-07,33.0,14.4,23.9,47,0.0,13.899999999999999
2023-01-08,33.1,16.2,24.5,52,0.0,14.5
2023-01-09,31.7,15.1,22.2,70,0.0,12.2
2023-01-10,28.8,17.6,21.5,68,0.0,11.5
2023-01-11,29.2,14.2,22.7,53,0.0,12.7
2023-01-12,25.7,18.0,22.3,60,0.3,12.3
2023-01-13,27.3,13.7,20.8,61,0.1,10.8
2023-01-14,31.7,16.3,22.8,57,0.3,12.8
2023-01-15,31.8,18.3,24.1,56,0.0,14.100000000000001
2023-01-16,37.8,20.9,28.2,52,0.0,18.2
2023-01-17,35.7,20.6,28.2,56,0.0,18.2
2023-01-18,33.8,20.0,25.7,59,0.1,15.7
2023-01-19,28.2,19.1,22.5,67,0.2,12.5
2023-01-20,28.7,15.6,21.6,69,0.0,11.600000000000001
2023-01-21,29.7,17.1,22.0,68,0.0,12.0
2023-01-22,27.6,16.8,22.1,66,0.0,12.100000000000001
2023-01-23,30.9,16.3,22.6,60,0.0,12.600000000000001
2023-01-24,21.1,15.0,17.6,70,6.8,7.600000000000001
2023-01-25,28.8,12.0,19.7,51,0.0,9.7
2023-01-26,29.9,12.2,21.1,62,0.0,11.100000000000001
2023-01-27,29.4,15.2,22.1,65,0.0,12.100000000000001
2023-01-28,24.0,16.5,19.8,67,0.9,9.8
2023-01-29,29.4,15.5,21.3,46,0.0,11.3
2023-01-30,33.1,17.4,24.0,46,0.0,14.0
2023-01-31,33.7,18.2,25.6,49,0.0,15.600000000000001
2023-02-01,26.5,17.4,21.9,70,0.0,11.899999999999999
2023-02-02,26.3,16.5,20.9,67,0.0,10.899999999999999
2023-02-03,34.6,12.9,23.7,53,0.0,13.7
2023-02-04,34.5,17.8,24.7,53,0.0,14.7
2023-02-05,26.0,20.2,22.6,77,0.0,12.600000000000001
2023-02-06,32.6,20.2,26.1,59,0.0,16.1
2023-02-07,27.8,20.0,23.7,70,1.3,13.7
2023-02-08,33.8,19.8,25.4,53,0.0,15.399999999999999
2023-02-09,34.6,17.8,26.2,50,0.0,16.2
2023-02-10,36.9,20.9,28.5,47,0.0,18.5
2023-02-11,38.0,20.6,28.0,41,0.0,18.0
2023-02-12,27.4,19.2,22.6,70,0.0,12.600000000000001
2023-02-13,30.6,16.9,23.7,66,0.0,13.7
2023-02-14,30.5,19.2,24.0,69,0.1,14.0
2023-02-15,30.1,19.0,23.2,65,0.0,13.2
2023-02-16,28.4,20.0,22.7,65,0.0,12.7
2023-02-17,26.5,19.1,21.6,69,3.2,11.600000000000001
2023-02-18,31.8,17.3,23.7,59,0.0,13.7
2023-02-19,27.1,15.6,20.7,69,0.2,10.7
2023-02-20,19.3,13.2,16.1,83,29.5,6.100000000000001
2023-02-21,22.6,11.2,15.9,64,0.1,5.9
2023-02-22,26.5,11.3,19.3,60,0.0,9.3
2023-02-23,29.8,14.4,21.9,63,0.0,11.899999999999999
2023-02-24,25.1,16.2,20.3,70,0.0,10.3
2023-02-25,25.8,16.1,19.8,59,0.0,9.8
2023-02-26,31.9,12.8,22.0,52,0.0,12.0
2023-02-27,33.7,14.5,23.6,55,0.0,13.600000000000001
2023-02-28,33.6,17.0,24.4,62,0.0,14.399999999999999
2023-03-01,35.0,15.9,25.0,56,0.0,15.0
2023-03-02,34.9,19.1,26.1,45,0.0,16.1
2023-03-03,27.5,16.5,20.9,70,0.0,10.899999999999999
2023-03-04,28.8,17.4,22.1,74,3.4,12.100000000000001
2023-03-05,20.4,16.9,17.8,95,18.0,7.800000000000001
2023-03-06,23.0,15.6,18.9,74,6.5,8.899999999999999
2023-03-07,27.7,17.2,20.9,64,0.4,10.899999999999999
2023-03-08,22.3,14.6,18.0,81,3.0,8.0
2023-03-09,19.0,14.8,16.6,94,11.6,6.600000000000001
2023-03-10,23.9,12.8,17.2,75,0.1,7.199999999999999
2023-03-11,20.7,13.3,16.7,74,6.7,6.699999999999999
2023-03-12,26.2,12.7,19.0,63,0.0,9.0
2023-03-13,29.5,13.5,21.2,72,0.0,11.2
2023-03-14,31.5,16.6,23.3,65,0.0,13.3
2023-03-15,32.7,20.3,24.8,69,0.0,14.8
2023-03-16,35.3,19.6,26.3,58,0.0,16.3
2023-03-17,24.7,17.2,19.8,81,0.7,9.8
2023-03-18,22.9,15.4,18.4,80,11.4,8.399999999999999
2023-03-19,25.5,15.6,19.1,65,0.0,9.100000000000001
2023-03-20,22.0,15.8,17.7,73,4.5,7.699999999999999
2023-03-21,24.6,15.1,18.5,80,3.8,8.5
2023-03-22,24.7,12.4,18.9,74,0.0,8.899999999999999
2023-03-23,27.5,20.1,23.4,65,10.3,13.399999999999999
2023-03-24,25.4,16.2,19.3,77,4.1,9.3
2023-03-25,20.3,15.8,17.4,90,17.9,7.399999999999999
