Region,Date,Risk_Probability,Risk_Level
Fresno (Central Valley),2026-08-12,0.9664,HIGH
Fresno (Central Valley),2026-08-13,0.9664,HIGH
Fresno (Central Valley),2026-08-14,0.9664,HIGH
Fresno (Central Valley),2026-08-15,0.9664,HIGH
Fresno (Central Valley),2026-08-16,0.9664,HIGH
Fresno (Central Valley),2026-08-17,0.9664,HIGH
Fresno (Central Valley),2026-08-18,0.9664,HIGH
Fresno (Central Valley),2026-08-19,0.9664,HIGH
Fresno (Central Valley),2026-08-20,0.9664,HIGH
Fresno (Central Valley),2026-08-21,0.9664,HIGH
Fresno (Central Valley),2026-08-22,0.9664,HIGH
Fresno (Central Valley),2026-08-23,0.9664,HIGH
Fresno (Central Valley),2026-08-24,0.9664,HIGH
Fresno (Central Valley),2026-08-25,0.9664,HIGH
Bakersfield,2026-08-12,0.9664,HIGH
Bakersfield,2026-08-13,0.9664,HIGH
Bakersfield,2026-08-14,0.9664,HIGH
Bakersfield,2026-08-15,0.9664,HIGH
Bakersfield,2026-08-16,0.9664,HIGH
Bakersfield,2026-08-17,0.9664,HIGH
Bakersfield,2026-08-18,0.9664,HIGH
Bakersfield,2026-08-19,0.9664,HIGH
Bakersfield,2026-08-20,0.9664,HIGH
Bakersfield,2026-08-21,0.9664,HIGH
Bakersfield,2026-08-22,0.9664,HIGH
Bakersfield,2026-08-23,0.9664,HIGH
Bakersfield,2026-08-24,0.9664,HIGH
Bakersfield,2026-08-25,0.9664,HIGH
Salinas Valley,2026-08-12,0.7806,HIGH
Salinas Valley,2026-08-13,0.7806,HIGH
Salinas Valley,2026-08-14,0.8056,HIGH
Salinas Valley,2026-08-15,0.8056,HIGH
Salinas Valley,2026-08-16,0.8834,HIGH
Salinas Valley,2026-08-17,0.9138,HIGH
Salinas Valley,2026-08-18,0.9397,HIGH
Salinas Valley,2026-08-19,0.9415,HIGH
Salinas Valley,2026-08-20,0.9415,HIGH
Salinas Valley,2026-08-21,0.9415,HIGH
Salinas Valley,2026-08-22,0.9415,HIGH
Salinas Valley,2026-08-23,0.9415,HIGH
Salinas Valley,2026-08-24,0.9475,HIGH
Salinas Valley,2026-08-25,0.9489,HIGH
Modesto,2026-08-12,0.9664,HIGH
Modesto,2026-08-13,0.9664,HIGH
Modesto,2026-08-14,0.9664,HIGH
Modesto,2026-08-15,0.9664,HIGH
Modesto,2026-08-16,0.9664,HIGH
Modesto,2026-08-17,0.9664,HIGH
Modesto,2026-08-18,0.9664,HIGH
Modesto,2026-08-19,0.9664,HIGH
Modesto,2026-08-20,0.9664,HIGH
Modesto,2026-08-21,0.9664,HIGH
Modesto,2026-08-22,0.9664,HIGH
Modesto,2026-08-23,0.9664,HIGH
Modesto,2026-08-24,0.9664,HIGH
Modesto,2026-08-25,0.9664,HIGH
Napa Valley,2026-08-12,0.9514,HIGH
Napa Valley,2026-08-13,0.9489,HIGH
Napa Valley,2026-08-14,0.9489,HIGH
Napa Valley,2026-08-15,0.9489,HIGH
Napa Valley,2026-08-16,0.9489,HIGH
Napa Valley,2026-08-17,0.9526,HIGH
Napa Valley,2026-08-18,0.9539,HIGH
Napa Valley,2026-08-19,0.9669,HIGH
Napa Valley,2026-08-20,0.9669,HIGH
Napa Valley,2026-08-21,0.9669,HIGH
Napa Valley,2026-08-22,0.9669,HIGH
Napa Valley,2026-08-23,0.9669,HIGH
Napa Valley,2026-08-24,0.9669,HIGH
Napa Valley,2026-08-25,0.9669,HIGH
