time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1970-01-01,5.7,77,0.62,5.5,0.28,0.0
1970-01-02,5.6,72,0.98,5.9,0.275,0.0
1970-01-03,5.8,72,0.77,5.8,0.27,0.0
1970-01-04,5.5,73,0.74,5.2,0.265,0.0
1970-01-05,4.7,72,0.76,5.0,0.261,0.0
1970-01-06,4.6,73,0.75,4.8,0.257,0.0
1970-01-07,7.7,67,1.22,7.7,0.253,0.0
1970-01-08,9.4,66,0.9,8.7,0.249,0.0
1970-01-09,11.0,77,0.52,9.7,0.324,7.7
1970-01-10,11.6,86,0.68,11.3,0.383,2.0
1970-01-11,10.1,90,0.32,10.2,0.368,12.6
1970-01-12,10.9,90,0.51,10.9,0.387,2.9
1970-01-13,10.2,90,0.53,10.5,0.361,4.4
1970-01-14,11.0,93,0.18,10.7,0.412,31.7
1970-01-15,9.3,92,0.34,9.7,0.4,0.0
1970-01-16,12.5,93,0.16,11.5,0.428,39.3
1970-01-17,11.4,89,0.48,11.8,0.421,9.8
1970-01-18,10.7,85,0.68,10.7,0.392,0.0
1970-01-19,10.7,87,0.57,10.4,0.378,0.2
1970-01-20,13.0,87,0.59,12.3,0.383,1.5
1970-01-21,13.7,88,0.42,12.7,0.371,0.5
1970-01-22,14.0,87,0.66,13.4,0.362,0.0
1970-01-23,14.2,85,0.89,13.7,0.355,1.9
1970-01-24,12.7,84,0.57,13.1,0.4,13.1
1970-01-25,9.2,80,0.72,10.4,0.374,0.0
1970-01-26,9.2,83,0.69,9.8,0.36,0.0
1970-01-27,10.5,83,0.62,10.7,0.38,9.0
1970-01-28,7.2,71,0.72,9.2,0.366,0.0
1970-01-29,7.7,72,0.9,8.3,0.351,0.0
1970-01-30,7.2,77,0.58,7.9,0.342,0.0
1970-01-31,7.0,77,0.63,7.7,0.335,0.0
1970-02-01,8.3,77,0.68,8.7,0.328,0.0
1970-02-02,8.0,79,0.69,8.6,0.322,0.0
1970-02-03,9.0,77,0.86,9.0,0.316,0.0
1970-02-04,10.0,81,0.75,9.7,0.311,0.0
1970-02-05,9.7,82,0.83,9.9,0.306,0.0
1970-02-06,10.3,84,0.74,10.9,0.301,0.0
1970-02-07,11.0,85,0.85,11.2,0.296,0.0
1970-02-08,11.7,78,1.02,11.8,0.291,0.0
1970-02-09,11.7,76,0.83,11.6,0.287,0.1
1970-02-10,12.6,88,0.56,12.4,0.352,5.2
1970-02-11,14.0,85,0.8,13.5,0.36,0.5
1970-02-12,13.0,85,0.8,13.1,0.346,1.5
1970-02-13,10.3,89,0.36,11.2,0.355,6.4
